id,submitdate,lastpage,startlanguage,seed,DT01_SQ001_,DT01_SQ011_,DT01_SQ002_,DT01_SQ005_,DT01_SQ004_,DT01_SQ003_,DT01_SQ006_,DT01_SQ007_,DT01_SQ008_,DT01_SQ009_,DT01_SQ010_,DT01_other_,DT06_SQ001_,DT06_SQ002_,DT06_SQ003_,DT06_SQ004_,DT06_other_,DT02_SQ001_,DT02_SQ002_,DT02_SQ003_,DT02_SQ006_,DT02_SQ005_,DT02_other_,DT03,DT03_other_,DT04a,DT04b,DT05a,DT05b,DQ01,DQ02,DQ03_SQ001_,DQ03_SQ002_,DQ04,DHRP01,DHRP02_SQ001_,DHRP02_SQ002_,DHRP02_SQ003_,DHRP02_SQ004_,DHRP07_SQ001_,DHRP07_SQ001comment_,DHRP07_SQ002_,DHRP07_SQ002comment_,DHRP07_SQ003_,DHRP07_SQ003comment_,DHRP07_SQ004_,DHRP07_SQ004comment_,DHRP07_SQ005_,DHRP07_SQ005comment_,DHRP07_SQ006_,DHRP07_SQ006comment_,DHRP07_other_,DHRP07_othercomment_,DHRP06_SQ001_,DHRP06_SQ002_,DHRP06_SQ003_,DHRP06_SQ004_,DHRP05_SQ001_,DHRP05_SQ002_,DHRP05_SQ003_,DHRP05_SQ004_,DHRP03a_SQ001_,DHRP03a_SQ002_,DHRP03a_SQ003_,DHRP03b_SQ001_,DHRP03b_SQ002_,DHRP03b_SQ003_,DHRP03c_SQ001_,DHRP03c_SQ002_,DHRP03c_SQ003_,DHRP04_SQ001_,DHRP04_SQ002_,DHRP04_SQ003_,DHRP04_SQ004_,ORDM01,ORDM02_SQ001_,ORDM02_SQ002_,ORDM02_SQ003_,ORDM02_SQ016_,ORDM02_SQ004_,ORDM02_SQ005_,ORDM02_SQ006_,ORDM02_SQ007_,ORDM02_SQ008_,ORDM02_SQ009_,ORDM02_SQ010_,ORDM02_SQ011_,ORDM02_SQ012_,ORDM02_SQ013_,ORDM02_SQ014_,ORDM02_SQ015_,ORDM03,D03,D03_other_,D06,D02_SQ001_,D02_SQ002_,D02_SQ008_,D02_SQ003_,D02_SQ004_,D02_SQ005_,D02_SQ006_,D02_SQ007_,D02_other_
253,1980-01-01T00:00:00Z,5,de,1004393842,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,Yes,No,No,Yes,No,NA,Proprietary and open source formats,NA,Yes,"Hintergrundinformationen zu Fertigungsprozessen, Rezepten für Materialmixtur, Fördermengen und Emissionsintensität der Produktion, etc.",No,NA,1 GB - 9 GB,100 GB - 499 GB,100 GB - 999 GB,10 GB - 99 GB,5-9 people,6-10,Rarely,"Never, or almost never",Rarely,"Never, or almost never",No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to agree,Completely agree,Rarely,Rarely,Sometimes,Rarely,NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,Sometimes,Most of the time,Most of the time,"Never, or almost never","Always, or almost always","Always, or almost always",Most of the time,To a large extent,To some extent,To a large extent,To some extent,To some extent,To some extent,To some extent,To some extent,To some extent,To a large extent,To a large extent,To a large extent,To some extent,To a very large extent,To a large extent,To a large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Civil Engineering Sciences,No,No,No,Yes,No,Yes,Yes,No,NA
254,1980-01-01T00:00:00Z,5,de,1347215909,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,10 GB - 99 GB,0 - 99 GB,10 GB - 99 GB,< 10 GB,5-9 people,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Tend to agree,Completely disagree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always","Always, or almost always","Never, or almost never",NA,To some extent,To little or no extent at all,To little or no extent at all,NA,To a large extent,To a very large extent,To a very large extent,To a large extent,To a large extent,To a large extent,To a large extent,To a large extent,To a very large extent,To a very large extent,To a very large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Civil Engineering Sciences,No,No,No,No,No,No,Yes,No,NA
255,1980-01-01T00:00:00Z,5,de,173999182,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,No,Yes,NA,Predominantly proprietary formats,NA,Yes,Messdaten von Prototypen,Yes,Prototypen,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,100 GB - 999 GB,Fewer than 5 people,6-10,Rarely,"Never, or almost never",Rarely,Rarely,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Most of the time,"Never, or almost never","Never, or almost never",Rarely,NA,NA,NA,Sometimes,Rarely,Rarely,Most of the time,"Never, or almost never","Never, or almost never",Rarely,"Always, or almost always","Never, or almost never","Never, or almost never",To some extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,Electrical and Information Engineering,No,No,Yes,No,No,No,No,No,NA
256,1980-01-01T00:00:00Z,5,de,1804067246,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,No,NA,Predominantly open source formats,NA,Yes,"CAD (Geometrie) Daten, Prozessbedingungen und Prozessbeschreibungen, streng vertrauliche Geschäftsdaten (Konzepte, Ideen)",Yes,"""geheimen"" Zwischenprodukte aus einer Produktion",1 GB - 9 GB,100 GB - 499 GB,1 TB - 10 TB,100 GB - 999 GB,5-9 people,6-10,"Never, or almost never",Rarely,"Never, or almost never",Sometimes,Yes,"das betrifft nur Teile von Quellcode, den wir als nicht IP-kritisch erachten",Yes,"das betrifft hauptsächlich Simulationsergebnisse, sowie vereinbarten Quellcode",Yes,jeder nicht-öffentliche Datenaustausch wird bei uns passwortgeschützt,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to agree,Completely agree,Completely agree,"Always, or almost always",Sometimes,Sometimes,"Never, or almost never",cloud.tugraz.at,github,NA,"Never, or almost never",Most of the time,"Never, or almost never",NA,NA,NA,Most of the time,"Always, or almost always","Always, or almost always","Never, or almost never",To some extent,Do not know/cannot answer,To a large extent,Do not know/cannot answer,Do not know/cannot answer,To a large extent,To little or no extent at all,Do not know/cannot answer,To a large extent,To a large extent,To a large extent,To a large extent,To some extent,To a very large extent,To a large extent,To a large extent,To little or no extent at all,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,Yes,No,No,No,No,No,No,NA
257,1980-01-01T00:00:00Z,5,de,1873707292,No,Yes,No,No,No,No,No,No,Yes,Yes,No,NA,No,Yes,No,No,NA,No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,"CAD, Messdaten",Yes,"Materialproben, Prototypen, Serienbauteile",10 GB - 99 GB,100 GB - 499 GB,100 GB - 999 GB,10 GB - 99 GB,20-29 people,>20,"Never, or almost never",Most of the time,"Never, or almost never","Never, or almost never",No,NA,Yes,Welche Daten an die Kooperationspartner weitergegeben werden wird meistens zu Beginn eines Projekts festgelegt,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Don't know/Cannot answer,Completely agree,Most of the time,"Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Always, or almost always",Most of the time,"Never, or almost never",To little or no extent at all,To little or no extent at all,To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,To little or no extent at all,To some extent,To a large extent,To a large extent,Do not know/cannot answer,To some extent,To a large extent,Do not know/cannot answer,To a large extent,Do not know/cannot answer,To a large extent,To some extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,No,No,No,Projektassistent
258,1980-01-01T00:00:00Z,5,de,1625299350,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,Yes,Yes,No,No,NA,No,Yes,Yes,Yes,Yes,NA,Predominantly open source formats,NA,No,NA,Yes,"Proteine, DNA",> 500 GB,500 GB - 900 GB,< 10 GB,100 GB - 999 GB,5-9 people,6-10,"Always, or almost always",Rarely,Rarely,Sometimes,Yes,"Code wird mit Publikation veröffentlicht, Herstellung von Material (z.B. Protein) wird beschrieben",No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Completely disagree,Completely agree,"Never, or almost never",Most of the time,"Always, or almost always","Never, or almost never",GitHub,BioarXiv,NA,"Never, or almost never","Always, or almost always",Sometimes,Most of the time,Sometimes,Sometimes,"Always, or almost always",Most of the time,"Never, or almost never",Most of the time,To little or no extent at all,To some extent,To some extent,Do not know/cannot answer,To little or no extent at all,To little or no extent at all,To some extent,To a very large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To little or no extent at all,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,Yes,No,No,No,No,No,NA
259,1980-01-01T00:00:00Z,5,de,1967674111,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,NA,No,No,No,Yes,NA,No,Yes,Yes,Yes,Yes,NA,Proprietary and open source formats,NA,Yes,Daten aus Industrieprojekten,Yes,Materialproben,Up to 99 MB,> 5 TB,10 TB - 100 TB,1 TB - 10 TB,30 or more people,6-10,"Never, or almost never",Sometimes,Most of the time,"Never, or almost never",No,NA,Yes,NA,Yes,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Don't know/Cannot answer,Tend to agree,Completely agree,"Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never",Rarely,Rarely,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never","Always, or almost always","Always, or almost always",Rarely,To a very large extent,To little or no extent at all,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a very large extent,To a very large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a very large extent,To a large extent,To a large extent,To a large extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,Yes,Yes,No,NA
260,1980-01-01T00:00:00Z,5,de,1446307716,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,NA,No,No,No,No,"Unklar was mit ""erheben"" gemeint ist.Wir generieren im wesentlichen Messdaten fuer die wissenschaftliche Bewertung, zur Dokumentation, Veröffentlichung und auch zur kommerziellen Verwendung bei Firmenpartnern",No,Yes,Yes,No,Yes,NA,Proprietary and open source formats,NA,Yes,"Informationen über Produkte der Firma, Messdaten aus Firmenkontext",Yes,"Prototypenentwicklung, die u.a. mit Sensoren Umgebungsphaenomaene erfassen, hier werden auch Proben eingesetzt (z.B. Pollen bei einem Luftguetemesssystem)",1 GB - 9 GB,100 GB - 499 GB,100 GB - 999 GB,10 GB - 99 GB,30 or more people,>20,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",No,NA,No,NA,Yes,Code und Daten an Firmenpartner (dürfen nicht öffentlich bekannt werden),Yes,Im Rahmen von grundlagenorientierten Projekten ohne Firmenbeteiligung,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Completely agree,Tend to agree,"Never, or almost never",Sometimes,Rarely,Rarely,arXiv,NA,NA,"Never, or almost never","Never, or almost never",Rarely,Most of the time,Sometimes,Rarely,"Always, or almost always",Most of the time,"Never, or almost never","Never, or almost never",To little or no extent at all,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To a very large extent,To some extent,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,Electrical and Information Engineering,Yes,No,No,No,No,No,No,No,NA
264,1980-01-01T00:00:00Z,5,de,663116423,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,NA,Yes,No,No,No,NA,Yes,Yes,No,No,Yes,NA,Proprietary and open source formats,NA,Yes,Zustandsdaten von kritischen Infrastrukturanlagen,No,NA,1 GB - 9 GB,> 5 TB,10 TB - 100 TB,1 TB - 10 TB,10-19 people,>20,Most of the time,"Always, or almost always",Most of the time,Sometimes,No,NA,Yes,NA,Yes,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Completely disagree,Don't know/Cannot answer,Most of the time,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,"Always, or almost always","Always, or almost always",Sometimes,"Never, or almost never",To some extent,To little or no extent at all,To a very large extent,To some extent,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a very large extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",Yes,No,No,No,No,No,No,No,NA
265,1980-01-01T00:00:00Z,5,de,2112120950,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,NA,No,No,No,Yes,NA,No,Yes,Yes,No,Yes,NA,Do not know/Cannot answer,NA,Yes,"Know-How der Industriepartner, Altschutzrechte",Yes,"Materialproben, großmaßstäbliche Versuchskörper (Bauteile, Tragstrukturen)",10 GB - 99 GB,1 TB - 5 TB,1 TB - 10 TB,100 GB - 999 GB,5-9 people,11-20,"Never, or almost never","Never, or almost never",Most of the time,"Never, or almost never",No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Completely disagree,Tend to agree,"Never, or almost never",NA,Sometimes,NA,NA,NA,NA,"Never, or almost never","Never, or almost never",Sometimes,"Always, or almost always",NA,NA,"Always, or almost always",Sometimes,Rarely,"Never, or almost never",To some extent,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To some extent,NA,Doctorate/PhD,NA,Civil Engineering Sciences,Yes,No,No,No,No,No,No,No,NA
266,1980-01-01T00:00:00Z,5,de,2030633783,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,Yes,No,NA,Do not know/Cannot answer,NA,No,NA,No,NA,1 GB - 9 GB,1 TB - 5 TB,10 GB - 99 GB,10 GB - 99 GB,5-9 people,11-20,"Never, or almost never",Do not know/cannot answer,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Completely agree,Tend to disagree,Sometimes,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never",To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,Electrical and Information Engineering,Yes,No,No,No,No,No,No,No,NA
268,1980-01-01T00:00:00Z,5,de,68704964,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,No,NA,Predominantly open source formats,NA,Yes,Daten von industriellen Partner,No,NA,Up to 99 MB,100 GB - 499 GB,< 10 GB,100 GB - 999 GB,10-19 people,>20,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,Yes,Die meisten Daten sind offen aber nicht öffentlich zugänglich,No,NA,No,NA,NA,NA,Completely agree,Completely agree,Completely disagree,Completely agree,Most of the time,Sometimes,Sometimes,"Never, or almost never",GitHub,Dropbox oder ähnliches,NA,"Never, or almost never","Never, or almost never",Sometimes,Most of the time,Sometimes,"Never, or almost never","Always, or almost always","Always, or almost always",Sometimes,Most of the time,To some extent,To little or no extent at all,To a very large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To little or no extent at all,To a large extent,To little or no extent at all,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,Yes,No,No,No,No,No,No,No,NA
269,1980-01-01T00:00:00Z,5,de,59053101,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,NA,No,Yes,Yes,Yes,Yes,NA,Predominantly open source formats,NA,Yes,Industrielle Messdaten/Produktionsdaten,No,NA,10 GB - 99 GB,1 TB - 5 TB,100 GB - 999 GB,1 TB - 10 TB,5-9 people,11-20,Most of the time,Sometimes,Sometimes,Rarely,No,NA,Yes,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to agree,Completely disagree,Completely agree,Most of the time,Sometimes,Sometimes,"Never, or almost never",Github,Nextcloud,Google Docs,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,"Always, or almost always",Sometimes,"Always, or almost always",Sometimes,To some extent,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,Yes,No,No,No,No,No,No,No,NA
270,1980-01-01T00:00:00Z,5,de,1032622155,No,No,No,No,Yes,No,No,Yes,No,No,Yes,NA,No,Yes,No,No,NA,No,Yes,No,No,No,NA,Proprietary and open source formats,NA,No,NA,Yes,biologische Proben aus Mikroorganismen,10 GB - 99 GB,500 GB - 900 GB,10 GB - 99 GB,100 GB - 999 GB,5-9 people,6-10,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Completely disagree,Tend to agree,"Never, or almost never",Most of the time,"Always, or almost always",Sometimes,PDB,NA,NA,"Never, or almost never","Never, or almost never",Most of the time,Most of the time,Most of the time,Sometimes,"Always, or almost always","Always, or almost always",Rarely,"Never, or almost never",To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,To a large extent,To a very large extent,To a large extent,To a large extent,To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To a large extent,To a large extent,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",No,No,Yes,No,No,No,No,No,NA
271,1980-01-01T00:00:00Z,5,de,2014298801,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,NA,Yes,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,Predominantly proprietary formats,NA,No,NA,Yes,Holz,100 MB - 999 MB,1 TB - 5 TB,10 GB - 99 GB,10 GB - 99 GB,Fewer than 5 people,1-5,Most of the time,Rarely,"Never, or almost never",Most of the time,No,NA,No,NA,No,NA,Yes,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Completely agree,Completely agree,"Never, or almost never","Never, or almost never",Most of the time,Sometimes,NA,NA,NA,Sometimes,"Never, or almost never",Rarely,Most of the time,Rarely,Rarely,"Always, or almost always","Always, or almost always",Rarely,Rarely,To some extent,To some extent,To some extent,Do not know/cannot answer,To some extent,NA,To a very large extent,To little or no extent at all,To some extent,To little or no extent at all,To a large extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To some extent,To some extent,To little or no extent at all,NA,Doctorate/PhD,NA,Architecture,No,No,Yes,No,No,No,No,No,NA
272,1980-01-01T00:00:00Z,5,de,940406621,No,No,No,No,No,No,No,No,No,No,Yes,NA,No,Yes,No,No,NA,No,No,No,Yes,No,NA,Predominantly open source formats,NA,No,NA,No,NA,< 1 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,1-5,"Never, or almost never",Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Most of the time,Most of the time,"Never, or almost never","Never, or almost never",To little or no extent at all,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,NA,Doctorate/PhD,NA,"Mathematics, Physics, and Geodesy",No,Yes,No,No,No,No,No,No,NA
273,1980-01-01T00:00:00Z,5,de,94343082,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,NA,No,No,No,Yes,NA,No,No,Yes,Yes,No,NA,Proprietary and open source formats,NA,No,NA,No,NA,< 1 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,1-5,"Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never",Yes,Meist wird ein Pseudocode in der Appendix einer Arbeit angehängt die frei zugänglich im Internet zu finden ist.,No,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely agree,Tend to disagree,Tend to agree,"Never, or almost never","Always, or almost always","Always, or almost always","Always, or almost always",arXiv.org,NA,NA,"Never, or almost never","Never, or almost never","Always, or almost always",Sometimes,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",Rarely,"Never, or almost never",To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To a large extent,To a large extent,To some extent,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,To little or no extent at all,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,"Mathematics, Physics, and Geodesy",No,No,No,No,No,No,Yes,No,NA
274,1980-01-01T00:00:00Z,5,de,141427342,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Evaluationsdaten,Yes,No,No,No,NA,No,Yes,No,No,No,NA,Predominantly proprietary formats,NA,Yes,Demographische Daten bei Evaluationen,N/A,NA,< 1 MB,0 - 99 GB,< 10 GB,< 10 GB,Fewer than 5 people,>20,"Never, or almost never",Sometimes,"Never, or almost never","Never, or almost never",No,NA,No,NA,No,NA,No,NA,Yes,Es werden nur die Ergebnisse der Auswertungen und Analysen weitergegeben bzw. veroeffentlicht,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,"Never, or almost never",Rarely,"Never, or almost never","Never, or almost never",Zenodo,NA,NA,"Never, or almost never","Never, or almost never","Never, or almost never",NA,NA,NA,Most of the time,Rarely,Rarely,"Never, or almost never",To little or no extent at all,To a large extent,To some extent,To a large extent,To some extent,To a large extent,To some extent,To a large extent,To a large extent,To a large extent,To a large extent,To little or no extent at all,To some extent,To some extent,To some extent,To some extent,To some extent,NA,Doctorate/PhD,NA,Computer Science and Biomedical Engineering,No,No,No,No,Yes,No,No,No,NA
275,1980-01-01T00:00:00Z,5,de,1401553060,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,NA,No,Yes,No,No,NA,No,Yes,No,No,Yes,NA,Predominantly proprietary formats,NA,Yes,Produktionsdaten Industrie,Yes,Materialproben (sehr häufig),10 GB - 99 GB,500 GB - 900 GB,10 TB - 100 TB,1 TB - 10 TB,30 or more people,>20,Rarely,Rarely,"Never, or almost never",Rarely,No,NA,No,NA,Yes,"Über Cloud, Bigmail oder Sharepoint",No,NA,No,NA,No,NA,NA,NA,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,"Always, or almost always","Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,Rarely,Most of the time,Sometimes,Most of the time,Rarely,"Never, or almost never",Most of the time,Most of the time,Most of the time,"Never, or almost never",To some extent,To little or no extent at all,To a large extent,To little or no extent at all,To some extent,To some extent,To little or no extent at all,To some extent,To a large extent,To little or no extent at all,To a large extent,To a large extent,To little or no extent at all,To some extent,To some extent,To some extent,NA,NA,Doctorate/PhD,NA,"Technical Chemistry, Chemical and Process Engineering, Biotechnology",Yes,No,No,No,No,No,No,No,NA
276,1980-01-01T00:00:00Z,5,de,1797933816,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,NA,Yes,Yes,Yes,No,NA,Yes,No,Yes,No,No,NA,Do not know/Cannot answer,NA,Yes,NA,No,NA,Up to 99 MB,100 GB - 499 GB,< 10 GB,10 GB - 99 GB,Fewer than 5 people,>20,Most of the time,"Always, or almost always",Rarely,Most of the time,No,NA,Yes,NA,No,NA,No,NA,No,NA,No,NA,NA,NA,Tend to agree,Completely disagree,Tend to disagree,Tend to agree,Rarely,Rarely,Most of the time,"Never, or almost never",NA,NA,NA,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,"Always, or almost always","Always, or almost always",Rarely,"Never, or almost never",To some extent,To some extent,To some extent,To little or no extent at all,To some extent,To little or no extent at all,To some extent,To little or no extent at all,To some extent,To some extent,To a large extent,To a large extent,To some extent,To some extent,To a large extent,To a large extent,To some extent,NA,Doctorate/PhD,NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,Yes,No,No,NA
277,1980-01-01T00:00:00Z,5,de,726614105,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,No,No,No,NA,No,Yes,Yes,No,Yes,NA,Do not know/Cannot answer,NA,Yes,Messdaten aus Industrieprojekt,No,NA,100 MB - 999 MB,0 - 99 GB,10 GB - 99 GB,10 GB - 99 GB,Fewer than 5 people,NA,NA,NA,NA,NA,No,NA,Yes,Teil des Industrieprojekts,No,NA,No,NA,No,NA,No,NA,NA,NA,Completely agree,Tend to disagree,Tend to disagree,Completely agree,Rarely,"Never, or almost never",Sometimes,"Never, or almost never",NA,NA,NA,Sometimes,"Never, or almost never",Do not know/cannot answer,NA,NA,NA,Rarely,Most of the time,"Never, or almost never",Rarely,Do not know/cannot answer,Do not know/cannot answer,Do not know/cannot answer,To some extent,To some extent,To a large extent,To a very large extent,To a large extent,To a very large extent,To a large extent,To some extent,NA,Do not know/cannot answer,To a large extent,To some extent,To a large extent,To some extent,NA,"Master's Degree (MSc., MA, Dipl. Ing., Mag.)",NA,Mechanical Engineering and Economic Sciences,No,No,No,No,No,Yes,No,No,NA
