"id","submitdate","lastpage","startlanguage","seed","DT01[SQ001]","DT01[SQ011]","DT01[SQ002]","DT01[SQ005]","DT01[SQ004]","DT01[SQ003]","DT01[SQ006]","DT01[SQ007]","DT01[SQ008]","DT01[SQ009]","DT01[SQ010]","DT01[other]","DT06[SQ001]","DT06[SQ002]","DT06[SQ003]","DT06[SQ004]","DT06[other]","DT02[SQ001]","DT02[SQ002]","DT02[SQ003]","DT02[SQ006]","DT02[SQ005]","DT02[other]","DT03","DT03[other]","DT04a","DT04b","DT05a","DT05b","DQ01","DQ02","DQ03[SQ001]","DQ03[SQ002]","DQ04","DHRP01","DHRP02[SQ001]","DHRP02[SQ002]","DHRP02[SQ003]","DHRP02[SQ004]","DHRP07[SQ001]","DHRP07[SQ001comment]","DHRP07[SQ002]","DHRP07[SQ002comment]","DHRP07[SQ003]","DHRP07[SQ003comment]","DHRP07[SQ004]","DHRP07[SQ004comment]","DHRP07[SQ005]","DHRP07[SQ005comment]","DHRP07[SQ006]","DHRP07[SQ006comment]","DHRP07[other]","DHRP07[othercomment]","DHRP06[SQ001]","DHRP06[SQ002]","DHRP06[SQ003]","DHRP06[SQ004]","DHRP05[SQ001]","DHRP05[SQ002]","DHRP05[SQ003]","DHRP05[SQ004]","DHRP03a[SQ001]","DHRP03a[SQ002]","DHRP03a[SQ003]","DHRP03b[SQ001]","DHRP03b[SQ002]","DHRP03b[SQ003]","DHRP03c[SQ001]","DHRP03c[SQ002]","DHRP03c[SQ003]","DHRP04[SQ001]","DHRP04[SQ002]","DHRP04[SQ003]","DHRP04[SQ004]","ORDM01","ORDM02[SQ001]","ORDM02[SQ002]","ORDM02[SQ003]","ORDM02[SQ016]","ORDM02[SQ004]","ORDM02[SQ005]","ORDM02[SQ006]","ORDM02[SQ007]","ORDM02[SQ008]","ORDM02[SQ009]","ORDM02[SQ010]","ORDM02[SQ011]","ORDM02[SQ012]","ORDM02[SQ013]","ORDM02[SQ014]","ORDM02[SQ015]","ORDM03","D03","D03[other]","D06","D02[SQ001]","D02[SQ002]","D02[SQ008]","D02[SQ003]","D02[SQ004]","D02[SQ005]","D02[SQ006]","D02[SQ007]","D02[other]"
"167","1980-01-01 00:00:00","5","de","809490865","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","","Yes","No","No","No","","No","No","Yes","Yes","No","","Proprietary and open source formats","","No","","No","","100 GB - 499 GB","1 TB - 5 TB","100 GB - 999 GB","10 GB - 99 GB","5-9 people","","","","","","No","","Yes","betrifft Simulationsdaten aber auch kleinere Programme","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Completely agree","Sometimes","Most of the time","Most of the time","Never, or almost never","GitHub","GitLab","","Never, or almost never","Never, or almost never","Rarely","Most of the time","Most of the time","Sometimes","Always, or almost always","Most of the time","Most of the time","Never, or almost never","To some extent","To some extent","To some extent","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To a large extent","To some extent","To a large extent","To a very large extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To a large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"170","1980-01-01 00:00:00","5","de","865471088","No","No","No","No","No","No","No","No","No","Yes","Yes","Messdaten","Yes","Yes","No","No","","No","Yes","Yes","No","Yes","","Predominantly proprietary formats","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Don't know/Cannot answer","Tend to disagree","Tend to agree","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Never, or almost never","Rarely","Sometimes","Do not know/cannot answer","Do not know/cannot answer","Sometimes","Always, or almost always","Never, or almost never","Never, or almost never","Do not know/cannot answer","To a large extent","To some extent","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","To a large extent","To a large extent","To a very large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mechanical Engineering and Economic Sciences","No","No","No","No","No","No","Yes","No",""
"171","1980-01-01 00:00:00","5","de","434930684","No","No","Yes","Yes","No","No","No","No","Yes","No","Yes","","Yes","No","No","No","","Yes","Yes","Yes","No","No","","Proprietary and open source formats","","Yes","Produktionsdaten, Messdaten aus laufenden Anlagen etc.","No","","100 MB - 999 MB","100 GB - 499 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people",">20","Sometimes","Rarely","Rarely","Rarely","No","","Yes","","No","","No","","No","","No","","","","Tend to disagree","Tend to agree","Tend to agree","Completely disagree","Sometimes","Sometimes","Sometimes","Never, or almost never","svn","projektbezogen, meist Open Source","","Sometimes","Sometimes","Rarely","Most of the time","Never, or almost never","Never, or almost never","Always, or almost always","Most of the time","Most of the time","Rarely","To a large extent","To some extent","To a very large extent","To little or no extent at all","To some extent","To a large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a large extent","To a large extent","Do not know/cannot answer","To a large extent","To some extent","To some extent","Do not know/cannot answer","","Doctorate/PhD","","Electrical and Information Engineering","No","Yes","No","No","No","No","No","No",""
"172","1980-01-01 00:00:00","5","de","545836815","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","Yes","","Predominantly proprietary formats","","Yes","industrielle Forschungsaufträge; personenbezogene metabolische Studien","Yes","vorwiegend Lebensmittel","10 GB - 99 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","5-9 people",">20","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","No","","Yes","industrierelevante Projektdaten","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Completely disagree","Tend to agree","Rarely","Never, or almost never","Always, or almost always","Never, or almost never","","","","Never, or almost never","Rarely","Sometimes","Most of the time","Sometimes","Never, or almost never","Always, or almost always","Rarely","Never, or almost never","Never, or almost never","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To a large extent","To some extent","To some extent","To a large extent","To some extent","To a large extent","To little or no extent at all","To a large extent","To some extent","To some extent","To a large extent","","Doctorate/PhD","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","Yes","No","No","No","No","No",""
"175","1980-01-01 00:00:00","5","de","1418471820","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","No","Yes","No","","Yes","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","","Yes","","10 GB - 99 GB","100 GB - 499 GB","10 GB - 99 GB","10 GB - 99 GB","5-9 people","","","","","","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Tend to agree","Most of the time","Never, or almost never","Sometimes","Never, or almost never","","","","Rarely","Sometimes","Sometimes","Most of the time","Rarely","Rarely","Sometimes","Always, or almost always","Rarely","Rarely","To some extent","To some extent","To some extent","To little or no extent at all","To some extent","To some extent","To a large extent","To some extent","To a large extent","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","No","Yes","No",""
"176","1980-01-01 00:00:00","5","de","862282718","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","","No","No","Yes","No","","No","No","No","No","Yes","","Proprietary and open source formats","","No","","Yes","Prüfproben","1 GB - 9 GB","0 - 99 GB","10 GB - 99 GB","< 10 GB","Fewer than 5 people","1-5","Rarely","Rarely","Rarely","Rarely","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Tend to disagree","Sometimes","Rarely","Sometimes","Rarely","","","","Rarely","Rarely","Rarely","Sometimes","Sometimes","Rarely","Most of the time","Most of the time","Rarely","Rarely","To some extent","To some extent","To some extent","Do not know/cannot answer","Do not know/cannot answer","To some extent","To a large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Civil Engineering Sciences","No","No","No","No","Yes","No","No","No",""
"177","1980-01-01 00:00:00","5","de","2076388954","No","No","Yes","No","Yes","No","No","No","Yes","No","Yes","","Yes","No","No","No","","No","No","No","No","Yes","","Proprietary and open source formats","","No","","No","","100 GB - 499 GB","100 GB - 499 GB","100 GB - 999 GB","100 GB - 999 GB","5-9 people","1-5","Never, or almost never","Do not know/cannot answer","Never, or almost never","Never, or almost never","No","","Yes","z.B. im Rahmen von Konsortialprojekten","No","","No","","No","","No","","","","Tend to agree","Tend to disagree","Tend to agree","Tend to agree","Most of the time","Always, or almost always","Most of the time","Never, or almost never","GitHub","SVN","","Rarely","Rarely","Sometimes","Most of the time","Sometimes","","Sometimes","Always, or almost always","Sometimes","Never, or almost never","To some extent","To a large extent","To a very large extent","To little or no extent at all","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","To some extent","To a large extent","To some extent","To some extent","To little or no extent at all","To some extent","To a large extent","To a very large extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"180","1980-01-01 00:00:00","5","de","314766924","No","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","No","No","","Predominantly open source formats","","Yes","Modelldaten, Geomtrien für Simulationen","No","","1 GB - 9 GB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","Yes","nur Teile oder unkritsche Modelldaten","No","","No","","","","Tend to agree","Don't know/Cannot answer","Don't know/Cannot answer","Tend to agree","Rarely","Sometimes","Sometimes","Never, or almost never","arXiv","Git (non public, hosted by university)","svn (non public, hosted by university)","Never, or almost never","Sometimes","Never, or almost never","","","","Always, or almost always","Always, or almost always","Most of the time","Never, or almost never","To a large extent","Do not know/cannot answer","To a large extent","Do not know/cannot answer","To a large extent","To some extent","To some extent","To a large extent","To a very large extent","To a very large extent","To some extent","To a large extent","To little or no extent at all","To some extent","To a very large extent","To a very large extent","To a large extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"181","1980-01-01 00:00:00","5","de","1677583370","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","","Yes","No","Yes","No","","No","Yes","No","No","No","","Proprietary and open source formats","","No","","Yes","Materialproben","100 MB - 999 MB","100 GB - 499 GB","< 10 GB","100 GB - 999 GB","Fewer than 5 people","","","","","","Yes","Open Access Publikationen","Yes","In Projektmeetings, an Kollegen mit denen zusammen gearbeitet wird","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Tend to disagree","Completely agree","Sometimes","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Never, or almost never","Sometimes","Sometimes","Sometimes","Sometimes","Always, or almost always","Rarely","Sometimes","Sometimes","To some extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
"186","1980-01-01 00:00:00","5","de","1526028185","No","No","No","Yes","No","No","No","No","Yes","No","Yes","","No","No","No","Yes","","No","No","Yes","Yes","No","","Predominantly open source formats","","No","","No","","Up to 99 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","","","","","","No","","No","","No","","No","","No","","Yes","","","","Tend to agree","Tend to agree","Tend to disagree","Tend to agree","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","arXiv","","","Never, or almost never","Rarely","Rarely","Rarely","Sometimes","Never, or almost never","Always, or almost always","Always, or almost always","Most of the time","Rarely","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To some extent","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"188","1980-01-01 00:00:00","5","de","532173870","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","","No","Yes","No","No","","No","No","No","No","No","","Predominantly open source formats","","Yes","Computer-readable text data","Yes","Silicon wafers","Up to 99 MB","100 GB - 499 GB","","10 GB - 99 GB","10-19 people","6-10","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","Yes","publications and talks at conferences","No","","No","","No","","No","","No","","","","Completely agree","Completely agree","Completely disagree","Completely agree","Always, or almost always","Most of the time","Most of the time","Most of the time","GitHub","Dropbox","","Never, or almost never","Rarely","Rarely","Rarely","Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always","Most of the time","Always, or almost always","To little or no extent at all","To a very large extent","To a very large extent","To little or no extent at all","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To a very large extent","To little or no extent at all","To some extent","To some extent","To some extent","To some extent","To some extent","To a very large extent","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
"189","1980-01-01 00:00:00","5","de","1880918405","No","No","Yes","No","No","No","No","No","Yes","No","Yes","","No","Yes","No","No","","No","No","Yes","No","No","","Predominantly open source formats","","No","","No","","1 GB - 9 GB","0 - 99 GB","","","Fewer than 5 people","1-5","Sometimes","Always, or almost always","Sometimes","Rarely","No","","No","","No","","Yes","unter Bedingungen","No","","No","","","","Tend to agree","Don't know/Cannot answer","Tend to disagree","Completely agree","Sometimes","Most of the time","Never, or almost never","Do not know/cannot answer","gitlab","github","owncloud","Rarely","Rarely","Sometimes","Rarely","Sometimes","Most of the time","Always, or almost always","Sometimes","Most of the time","Rarely","To a large extent","To some extent","To some extent","To some extent","To some extent","To some extent","To little or no extent at all","To a large extent","To a very large extent","To a large extent","To some extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Computer Science and Biomedical Engineering","No","No","No","No","No","No","Yes","No",""
"190","1980-01-01 00:00:00","5","de","57656305","No","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","","Yes","No","No","No","","No","No","Yes","No","Yes","","Do not know/Cannot answer","","Yes","Messdaten","No","","1 GB - 9 GB","0 - 99 GB","100 GB - 999 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","Yes","","No","","Yes","","No","","No","","","","Completely agree","Completely disagree","Tend to agree","Completely agree","Most of the time","Sometimes","Never, or almost never","Never, or almost never","OneDrive","TU Graz","","Never, or almost never","Rarely","Sometimes","Most of the time","Rarely","Rarely","Rarely","Most of the time","Sometimes","Sometimes","To a large extent","Do not know/cannot answer","To a large extent","Do not know/cannot answer","To some extent","To a large extent","To some extent","To a large extent","To little or no extent at all","To little or no extent at all","Do not know/cannot answer","To some extent","Do not know/cannot answer","To a large extent","To little or no extent at all","To a very large extent","To some extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","No","No","Yes","Yes","No",""
"191","1980-01-01 00:00:00","5","de","1123000644","No","Yes","No","Yes","No","No","No","No","No","No","Yes","","Yes","No","No","No","","No","Yes","Yes","No","Yes","","Predominantly open source formats","","No","","Yes","Elektronische Bauteile und kleine elektronische Systeme/Baugruppen","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people","1-5","Never, or almost never","Rarely","Do not know/cannot answer","Do not know/cannot answer","No","","No","","No","","Yes","Code wird vielleicht veröffentlicht, für Daten wird gerade eine eigene Datenbank in Zusammenarbeit mit ZID erstellt. Tony Ross-Hellauer hat bereits eine Mail diesbezüglich erhalten. Betreff: ""[Open Sciences] Datenbank für Forschungsergebnisse"" erhalten","No","","No","","","","Completely disagree","Don't know/Cannot answer","Tend to agree","Completely agree","Never, or almost never","Never, or almost never","Rarely","Do not know/cannot answer","","","","Rarely","Do not know/cannot answer","Never, or almost never","","","","Always, or almost always","Never, or almost never","Never, or almost never","Never, or almost never","To a large extent","To little or no extent at all","To a very large extent","To little or no extent at all","To some extent","To a very large extent","To some extent","To some extent","To some extent","To a very large extent","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To a very large extent","Ich bin ein von Steuergeldern finanzierter Universitäts-Assistent. Ich bin deshalb der Auffassung, dass alles was ich erforsche der Öffentlichkeit zur Verfügung gestellt werden MUSS.
Wenn dann mein Professor aus meiner Idee/Datenbank nur Geld machen will, stellt es mir auf gut Deutsch die Haare auf.
Der finanzielle Aspekt war für meinen Doktorvater bislang auch der einzige Grund, um sich tatsächlich für mein Projekt zu interessieren. Sonstige Meetings haben eher einen gespielt-interessierten Eindruck gemacht. Das Projekt wurde im Übrigen vom Professor vorgeschlagen und ist nicht von meiner Seite aus gestartet worden. Soweit haben wir's mittlerweile gebracht. BRAVO!","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Electrical and Information Engineering","No","No","No","Yes","No","Yes","Yes","No",""
"192","1980-01-01 00:00:00","5","de","1624211476","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","","Yes","No","No","No","","Yes","Yes","No","No","Yes","","Proprietary formats exclusively","","No","","Yes","","10 GB - 99 GB","","","","Fewer than 5 people","","","","","","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Don't know/Cannot answer","Don't know/Cannot answer","Tend to agree","Always, or almost always","Never, or almost never","Do not know/cannot answer","Do not know/cannot answer","","","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a large extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To some extent","Do not know/cannot answer","Do not know/cannot answer","To some extent","To a large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Technical Chemistry, Chemical and Process Engineering, Biotechnology","No","No","No","No","No","No","Yes","No",""
"193","1980-01-01 00:00:00","5","de","1565837316","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","","Yes","Yes","Yes","No","","No","No","Yes","Yes","No","","Predominantly open source formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","10 GB - 99 GB","10 GB - 99 GB","Fewer than 5 people","","","","","","No","","No","","No","","No","","No","","Yes","Wir haben noch nicht festgelegt, ob und wie unser Ouput, inbesondere Code, weitergegeben werden soll.","","","Completely agree","Don't know/Cannot answer","Tend to disagree","Completely agree","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","","","Do not know/cannot answer","Do not know/cannot answer","Rarely","Sometimes","Never, or almost never","Never, or almost never","Most of the time","Sometimes","Rarely","Never, or almost never","Do not know/cannot answer","To some extent","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To some extent","To a large extent","To little or no extent at all","To a large extent","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Mathematics, Physics, and Geodesy","No","No","No","No","No","No","Yes","No",""
"196","1980-01-01 00:00:00","5","de","1693579604","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","","Yes","Yes","No","No","","Yes","Yes","Yes","Yes","Yes","","Predominantly proprietary formats","","Yes","geheim","Yes","Batterien","1 GB - 9 GB","0 - 99 GB","","10 GB - 99 GB","Fewer than 5 people","11-20","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Don't know/Cannot answer","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","","","","Never, or almost never","Never, or almost never","Never, or almost never","","","","Always, or almost always","Sometimes","Never, or almost never","Never, or almost never","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Doctorate/PhD","","Electrical and Information Engineering","No","No","No","No","Yes","No","No","No",""
"197","1980-01-01 00:00:00","5","de","5911505","No","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","","Yes","Yes","No","No","","No","No","Yes","No","Yes","","Proprietary and open source formats","","Yes","Smart Meter Daten","No","","100 MB - 999 MB","500 GB - 900 GB","100 GB - 999 GB","10 GB - 99 GB","Fewer than 5 people","11-20","Sometimes","Most of the time","Most of the time","Rarely","No","","Yes","","Yes","","Yes","","No","","No","","","","Completely agree","Tend to disagree","Tend to disagree","Tend to agree","Sometimes","Most of the time","Sometimes","Never, or almost never","Nextcloud","Github","","Sometimes","Sometimes","Sometimes","","","Most of the time","Most of the time","Most of the time","Sometimes","Never, or almost never","To a large extent","To a large extent","To a large extent","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To some extent","To some extent","To a very large extent","To some extent","To some extent","To a large extent","To a large extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","","Doctorate/PhD","","Civil Engineering Sciences","No","Yes","No","No","No","No","No","No",""
"199","1980-01-01 00:00:00","5","de","1709008911","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","No","Yes","No","","Yes","Yes","No","No","Yes","","Do not know/Cannot answer","","No","","Yes","Produkte und Materialien aus dem Bauwesen","1 GB - 9 GB","0 - 99 GB","< 10 GB","10 GB - 99 GB","5-9 people","1-5","Do not know/cannot answer","Most of the time","Never, or almost never","Most of the time","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Tend to agree","Completely disagree","Completely agree","Sometimes","Do not know/cannot answer","Sometimes","Do not know/cannot answer","","","","Never, or almost never","Sometimes","Most of the time","Rarely","Always, or almost always","Sometimes","Rarely","Always, or almost always","Never, or almost never","Never, or almost never","Do not know/cannot answer","To some extent","To a large extent","To a large extent","To a large extent","To a very large extent","To little or no extent at all","To a large extent","To a very large extent","To some extent","To a large extent","To a large extent","To little or no extent at all","To a very large extent","To some extent","To a large extent","To a very large extent","","Master's Degree (MSc., MA, Dipl. Ing., Mag.)","","Architecture","No","No","No","No","No","Yes","No","No",""
"201","1980-01-01 00:00:00","5","de","1717856300","No","No","No","No","No","No","No","No","Yes","No","Yes","","No","Yes","No","No","","No","Yes","Yes","No","Yes","","Proprietary and open source formats","","Yes","(Neuro) Physiologischen Daten","No","","100 MB - 999 MB","1 TB - 5 TB","10 GB - 99 GB","1 TB - 10 TB","20-29 people","1-5","Never, or almost never","Sometimes","Never, or almost never","Never, or almost never","Yes","","No","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Completely disagree","Completely agree","Sometimes","Rarely","Sometimes","Most of the time","Frontiers","","","Never, or almost never","Never, or almost never","Rarely","Sometimes","Most of the time","Always, or almost always","Always, or almost always","Most of the time","Rarely","Never, or almost never","To little or no extent at all","To some extent","To some extent","Do not know/cannot answer","To some extent","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To some extent","To a large extent","To a large extent","To a large extent","To a large extent","","Doctorate/PhD","","Computer Science and Biomedical Engineering","No","No","Yes","No","No","No","No","No",""
"203","1980-01-01 00:00:00","5","de","2020795812","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","","Yes","Yes","No","No","Yes","","Proprietary and open source formats","","Yes","Gesichter, Autokennzeichen, Angaben zu Standorten von Proben","Yes","Bodenproben und Materialproben","1 GB - 9 GB","100 GB - 499 GB","10 GB - 99 GB","100 GB - 999 GB","10-19 people","6-10","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","Yes","","No","","No","","No","","No","","","","Completely agree","Tend to agree","Tend to disagree","Completely agree","Never, or almost never","Never, or almost never","Most of the time","Never, or almost never","","","","Never, or almost never","Rarely","Sometimes","Always, or almost always","Sometimes","Rarely","Always, or almost always","Always, or almost always","Sometimes","Sometimes","To little or no extent at all","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","To a very large extent","To a large extent","To a large extent","To a large extent","To little or no extent at all","To little or no extent at all","To a large extent","To a large extent","To a large extent","To a large extent","To a very large extent","To some extent","To a large extent","","Doctorate/PhD","","Civil Engineering Sciences","No","No","No","No","Yes","Yes","No","No",""
"205","1980-01-01 00:00:00","5","de","964984672","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","","Yes","Yes","No","No","","No","Yes","Yes","Yes","No","","Proprietary and open source formats","","No","","No","","100 MB - 999 MB","0 - 99 GB","","","5-9 people","","","","","","No","","Yes","","No","","No","","No","","No","","","","Tend to agree","Completely disagree","Don't know/Cannot answer","Tend to agree","Most of the time","Never, or almost never","Rarely","Never, or almost never","","","","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Never, or almost never","Never, or almost never","Always, or almost always","Sometimes","Never, or almost never","To some extent","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","Do not know/cannot answer","","Bachelor's Degree","","Computer Science and Biomedical Engineering","No","No","No","No","No","Yes","No","Yes",""
"206","1980-01-01 00:00:00","5","de","1257818160","No","No","No","No","No","No","No","No","Yes","No","Yes","","Yes","Yes","No","No","","No","No","No","Yes","No","","Open source formats exclusively","","No","","No","","< 1 MB","0 - 99 GB","< 10 GB","< 10 GB","Fewer than 5 people","1-5","Never, or almost never","Never, or almost never","Never, or almost never","Never, or almost never","No","","No","","No","","Yes","Das ist der Fall bei Projekten die  nummerische Experimente inkludieren. ","No","","No","","","","Completely agree","Completely disagree","Tend to disagree","Tend to agree","Never, or almost never","Most of the time","Most of the time","Never, or almost never","arXiv","SSRN","Optimisation Online","Never, or almost never","Never, or almost never","Rarely","Most of the time","Sometimes","Rarely","Sometimes","Always, or almost always","Do not know/cannot answer","Do not know/cannot answer","To little or no extent at all","To little or no extent at all","To some extent","Do not know/cannot answer","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To some extent","To little or no extent at all","To some extent","To some extent","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","To little or no extent at all","","Doctorate/PhD","","Mathematics, Physics, and Geodesy","No","Yes","No","No","No","No","No","No",""
